,,,,,,,,,km2,km2,,%,%,%,%,yr,,ug/L,,,m,,ug L-1,mg/L,g C m2 yr,%,load,,retention,g/m2/yr,,,,,,,,,g/m2/yr,,,,%,,,,,,,,,,,,,,,,,,
Oliver_notes,status,Site,Primary_reference,Type,Location,latitude,longitude,Sub_location,Watershed_area,Lake_area,period,propNO3retention,propNH4retention,propDINretention,propTONretention,restime_y,logR,TP_ugL,LogTP,Status,zbar_m,h_myr1,Chla_ugL,DOC_mgL,Pprates_gCm2yr,PercTN_retention,Nload_gm2y,logNload,Nretention_gm2y,denitrifcation,p_mass_units,p_conc_units,tp_in_mass,tp_in_conc,tp_out_mass,tp_out_conc,PercP_retention,RpminusRn,inorganicload,organicload,inorganicremoval,organicremoval,PercOrganicLoad,PercInorganicLoad,Notes,,,,,,,,,,,,,,,,
,0,Baldegg,Mengis 1997,,Switzerland,,,,68,5.2,1995,,,,,4.1,0.612783857,99.20,2.00,E,33,8.048780488,,,,0.79,41.90,1.622234753,33.10258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Heney,Kaste and Dillon 2003; Molot and Dillon 1993,,Canada,,,,0.93,0.21,,0.51,,,,1.473214286,0.168265922,8.40,0.92,O,3.3,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,227 fertilized,Schindler et al. 1973,lake,Canada,49.7,-93.7,,0.3,0.05,P fert,,,,,2.84,0.45331834,23.00,1.36,M,4.4,1.549295775,,,,0.64,7.84,0.894316063,5.0176,,kg y,,29.18,,4.565,,0.84,0.2,,,,,,,,,,,,,,,,,,,,,,,
,0,Acton,Vanni 2010,Reservior,US,,,Ohio,259,2.4,2001,,,,,0.15,-0.823908741,,,E,3.9,26,,,,0.256,380,2.579783597,97.28,,,,,,,,,,,,,,0.14,0.86,,,,,,,,,,,,,,,,,
,0,Arreskov,Jeppesen et al. 1998,,Denmark,,,,,3.17,1992-1995,,,,,1.75,0.243038049,160.00,2.20,E,1.9,1.085714286,,,,0.635,17.61,1.245790182,11.18314375,,,,,,,,,,,,,,,,"Post fish kill N retention increases, org N decreases",,,,,,,,,,,,,,,,
,1,Baikal,Granina 1997,lake,Russia,53.341765,107.98211,Siberia,560000,31722,"3 studies, 1960s -1970s",,,,,330,2.51851394,10.00,1.00,o,744,2.254545455,0.95,1,,0.55,0.800580039,-0.096595242,0.440319021,,kt y,,4.068,,1.634,,0.61,0.07,,,,,,,,,,,,,,,,,,,,,,,
,1,Belau,Schernewski 2003,lake,Germany,54.099852,10.252477,,4.4,1.1,1989 to 1994,,,,,0.75,-0.124938737,77.00,1.89,E,9,12,26,8.6,146,0.453416149,32.2,1.507855872,14.6,,g m2 y,,1.14,,1.01,,0.11,-0.343416149,,,,,,,,,,,,,,,,,,,,,,,
,0,blue chalk,Molot and Dillon 1993,,Canada,,,,1.06,0.524,1977 to 1989,0.870588235,0.881118881,0.874661858,0.37,5.483870968,0.739087228,5.90,0.77,O,8.5,1.55,,1.75,,0.73,1.55,0.190331698,1.1315,,,,,,,,,,1.11,0.442,0.969125338,0.16354,0.29,0.71,,,,,,,,,,,,,,,,,
,1,Boslid,Fleischer et al. 1994,Reservior,Sweden,56.597401,12.940763,,7.58,0.0047,,,,,,,,,,,0.9,,,,,0.026,3562.4,3.551742682,91.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Chub,Molot and Dillon 1993,,Canada,,,,2.72,0.344,1977 to 1989,0.488512696,0.794372294,0.598138092,0.24,2.064965197,0.314912736,9.40,0.97,O,8.9,4.31,,4.9,,0.4,2.77,0.442479769,1.108,,,,,,,,,,1.27,1.5,0.759635376,0.36,0.54,0.46,,,,,,,,,,,,,,,,,
