"Data from Brooks, J. R., et al. (2014). ""Stable Isotope estimates of lake water evaporation:inflow and residence time for lakes across the United States as a tool for national lake water quality assessments."" Limnology and Oceanography 59(6): 2150-2165.",,,,,,,,,,,
SITE_ID,VISIT_NO,DATE_COL,E_I,RT,LON_DD,LAT_DD,LAKEAREA (km2),DEPTHMAX (m),Lake_Vol (m3),ELEV_PT (m),BASINAREA_KM2
NLA06608-0152,1,7/17/2007,0.348,0.98,-97.68636485,34.59440722,3.99558531,8.7,10211213.63,328.06,97.17
NLA06608-0153,1,8/30/2007,0.092,0.13,-78.62538711,37.21418362,0.342781304,3.8,368470.5078,133.82,36.50
NLA06608-0155,1,7/31/2007,0.139,0.67,-88.12714851,42.37328848,1.548023875,8.1,4601583.898,223.92,99.25
NLA06608-0158,1,9/5/2007,0.558,2.73,-91.24994528,45.88100581,1.212290333,8.5,3212026.272,401.01,13.93
NLA06608-0161,1,8/15/2007,0.411,0.4,-82.72114525,28.1024337,10.13147687,3.8,11158254.25,0.35,168.64
NLA06608-0162,1,8/28/2007,0.193,0.26,-72.10321054,42.73356694,0.533692112,2,387459.4053,270.74,12.36
NLA06608-0167,1,7/23/2007,0.738,0.5,-94.03191284,44.9419591,0.701956031,1,298828.919,302.17,2.45
NLA06608-0168,1,6/13/2007,0.173,0.3,-94.85392322,37.75822313,0.240384212,4.1,335568.5429,276.12,7.58
NLA06608-0169,1,7/5/2007,0.091,0.63,-111.5318192,38.51725431,0.69824498,11,2046484.688,2435,200.44
NLA06608-0170,1,9/21/2007,0.312,0.68,-86.10688883,43.9911006,0.509227675,3.4,647728.2252,214.91,5.44
NLA06608-0173,1,7/11/2007,0.599,1.36,-115.5092281,33.07333126,0.210445337,2.8,204954.8891,0,5.22
NLA06608-0174,1,7/25/2007,0.551,5.38,-96.0363618,46.25212358,0.685630212,13.7,3915151.453,363.27,2.77
NLA06608-0175,1,8/30/2007,0.129,0.33,-84.68705386,39.68102041,0.8248246,6.6,1382815.948,311.68,22.85
NLA06608-0176,1,9/7/2007,0.182,0.13,-90.45779851,35.14239477,0.448817813,2.2,287900.3032,58.08,131.74
NLA06608-0177,1,8/22/2007,0.013,1.4,-73.05232335,43.89203643,0.411261949,19,3065969.182,384.73,1.75
NLA06608-0179,1,6/4/2007,0.78,0.66,-101.0545158,44.36456222,0.105722349,2,57948.44192,597.43,46.22
NLA06608-0180,1,8/29/2007,0.116,0.18,-98.88132868,34.51894059,4.164717949,4.3,6039903.175,365.88,148.46
NLA06608-0181,1,9/20/2007,0.534,18.59,-119.0740544,37.78861101,1.188168936,40,16367847.37,2323.16,6.92
NLA06608-0183,1,7/25/2007,0.24,1.08,-92.42496232,45.32624711,5.775641342,9,15032930.38,310.94,282.22
NLA06608-0184,1,6/15/2007,0.37,0.3,-94.74900513,38.83461964,0.149525113,2,91872.3406,303.84,7.01
NLA06608-0185,1,8/14/2007,0.218,0.28,-75.45750462,41.11130456,0.975710439,2.5,670931.4652,533.22,50.07
NLA06608-0189,1,6/11/2007,0.082,0.18,-80.57939847,40.02942387,0.143970978,4.5,207985.3194,264.46,74.34
NLA06608-0190,1,8/14/2007,0.609,2.98,-93.75949137,47.67254307,0.065888031,6.2,169779.9204,416,1.70
NLA06608-0191,1,7/21/2007,0.139,2.68,-83.66709127,35.16783478,6.400317026,44,76380391.08,916.56,235.36
NLA06608-0193,1,7/11/2007,0,0,-121.1758404,48.70438576,0.81434119,2,377183.7503,268.82,3009.16
NLA06608-0195,1,6/12/2007,0.362,0.42,-99.08101063,46.89197546,0.063059334,1.9,41703.26763,570.45,0.87
NLA06608-0196,1,6/21/2007,0.117,0.28,-88.06164584,38.77692521,0.522621923,6.7,966718.6134,143.41,8.37
NLA06608-0198,1,7/24/2007,0.326,1.42,-70.08954132,41.71307603,0.650722492,7.2,1711387.342,6.13,22.42
NLA06608-0201,1,9/18/2007,0.03,0.37,-120.4416484,39.11225012,5.747259015,18,35972263.35,1592.46,122.32
NLA06608-0203,1,8/2/2007,0.082,0.98,-87.31609868,34.00633269,4.71993514,49,46915099.9,155.33,362.58
NLA06608-0204,1,9/12/2007,0.311,0.28,-99.24197456,35.43592446,0.357705532,2.6,279764.6625,547.83,32.86
NLA06608-0207,1,7/18/2007,0.607,0.89,-84.81807605,32.60301252,0.073930869,3.8,97234.60676,189.95,0.51
NLA06608-0208,1,9/6/2007,0.732,1.28,-90.96329594,35.58384499,0.958927123,3.9,1457996.732,69.01,1.26
NLA06608-0209,1,7/19/2007,0.083,1.32,-122.0836788,47.57601003,19.34331091,27.6,194113980.6,9.1,257.85
NLA06608-0211,1,8/7/2007,0.718,0.7,-95.76982211,47.46534213,0.579621309,1.4,308761.8389,387.71,9.72
NLA06608-0212,1,7/12/2007,0.016,0.08,-86.46847503,39.02766863,27.61794457,13.2,94027130.8,172.67,1119.80
NLA06608-0215,1,8/22/2007,0.26,1.38,-94.96441345,45.2593824,3.853673642,9.8,12663103.28,355.29,320.84
NLA06608-0216,1,7/6/2007,0.589,0.27,-96.52877618,40.3285507,0.32084077,1.1,106399.4443,425.89,18.20
NLA06608-0217,1,6/24/2007,0.199,0.27,-79.1460479,36.15288306,0.551955377,5,595277.884,186.84,23.52
NLA06608-0219,1,8/1/2007,0.183,1.05,-85.37102925,41.40043649,0.470075084,9.8,1739311.81,284.71,36.17
NLA06608-0220,1,8/2/2007,1.09,0.71,-100.5303638,42.50465482,0.201812734,1.2,82937.17545,884.56,8.32
NLA06608-0221,1,6/28/2007,0.132,0.1,-76.82122952,37.29913592,0.184327579,2.1,110483.5532,2.67,12.63
NLA06608-0222,1,6/27/2007,0.722,1.38,-102.9398075,48.40689317,0.203065788,3.5,206121.2345,696.09,15.13
NLA06608-0223,1,6/27/2007,0.141,0.17,-84.20752986,33.58413004,0.275773189,3.6,277655.2172,221.93,17.46
NLA06608-0224,1,7/19/2007,0.342,1.18,-90.58984208,37.64783657,0.706473498,8.6,1787160.686,323.96,3.00
NLA06608-0225,1,7/11/2007,0.094,4.14,-112.5389845,47.48039976,2.056045623,17.3,13091524.73,1355,9.12
NLA06608-0226,1,7/9/2007,0.111,0.21,-71.24740864,43.19952563,0.050551733,2.9,53027.93536,189.39,0.32
NLA06608-0228,1,6/26/2007,0.184,0.59,-103.6093941,38.06219707,2.172780867,5.4,4657233.108,1268.59,20.65
NLA06608-0229,1,9/13/2007,0.058,0.05,-74.449008,43.95295544,16.8302987,10.4,7297394.171,495.93,1013.03
