state,name,county,storet_code,source
MISSISSIPPI,ROSS BARNETT RESERVOIR,JACKSONOHADISONQ RANKIN,2804,475
MISSISSIPPI,SARDIS LAKE,LAFAYETTE PANOLA,2805,475
NEW JERSEY,BUDD LAKE,MORRIS,3402,475
NEW JERSEY,DUHERNAL LAKE,MIDDLESEx,3412,475
NEW JERSEY,FARRINGTON LAKE,MIDDLESEX,3413,475
NEW JERSEY,GREENWOOD LAKE,PASSAIC NU ORANGEo NY,3403,475
NEW JERSEY,LAKE MUSCONETCONG,MORRIS SUSSEx,3417,475
NEW JERSEY,LAKE HOPATCONG,MORRIS SUSSEx,3415,475
NEW JERSEY,ORADELL RESERVOIR,BERGEN,3406,475
NEW JERSEY,PAULINSKILL LAKE,SUSSEx,3419,475
NEW JERSEY,PINECLIFF LAKE,PASSAIC,3409,475
NEW JERSEY,POMPTON LAKES,PASSAIC,3410,475
NEW JERSEY,SPRUCE RUN RESERVOIR,HUNTEROON,3420,475
NEW JERSEY,UNION LAKE,CUMBERLAND,3422,475
NEW JERSEY,WANAQUE RESERVOIR,PASSAIC,3423,475
NORTH CAROLINA,BADIN LAKE,MONTGOMERY STANLY,3701,475
NORTH CAROLINA,BLEWETT FALLS LAKE,ANSON RICHMOND,3702,475
NORTH CAROLINA,FONTANA LAKE,SRAIN GRAHAM,3704,475
NORTH CAROLINA,HICKORY LAKE,ALEXANDER CALDRELL CATAUDA,3705,475
NORTH CAROLINA,HIGH ROCK LAKE,"DAVIDSON, ROWAN",3706,475
NORTH CAROLINA,HIWASSEE LAKE,CHEROKEE,3707,475
NORTH CAROLINA,LAKE JAMES,BURKE MCDORELL,3708,475
NORTH CAROLINA,LAKE JUNALUSKA,HAYHOOD,3709,475
NORTH CAROLINA,LOOKOUT SHOALS LAKE,"CATAWBA, ALEXANDER, IREDELL",3710,475
NORTH CAROLINA,MOUNTAIN ISLAND LAKE,GASTON HECKLENBURG,3711,475
NORTH CAROLINA,LAKE NORMAN,CATARBA IRADELL LINCOLN MECKLENBURG,3713,475
NORTH CAROLINA,RHODHISS LAKE,BURKE CALDRELL,3715,475
NORTH CAROLINA,SANTEETLAH LAKE,GRAHAM,3716,475
NORTH CAROLINA,LAKE TILLERY,MONTGOMERY STANLY,3717,475
NORTH CAROLINA,WACCAMAW LAKE,COLUMBUS,3719,475
NORTH CAROLINA,WATERVILLE LAKE,HAYHOOD,3718,475
OHIO,ATWOOD RESERVOIR,CARROL TUSCAHAWAS,3928,475
OHIO,BEACH CITY RESERVOIR,STARK TUSCARAWAS,3901,475
OHIO,BERLIN RESERVOIR,MAHONING PORTAGE STARK,3929,475
OHIO,BUCKEYE LAKE,FAIRFIELD LICKING PERRY,3902,475
OHIO,CHARLES MILL RESERVOIR,ASHLAND RICHLAND,3905,475
OHIO,DEER CREEK RESERVOIR,FAYETTE PICKAWAY,3906,475
OHIO,DELAWARE RESERVOIR,DELAWARE,3907,475
OHIO,DILLON RESERVOIR,MUSKINGUM,3908,475
OHIO,LAKE GRANT,BROWN,3912,475
OHIO,HOLIDAY LAKE,HURON,3930,475
OHIO,HOOVER RESERVOIR,DELAWARE FRANKLIN,3914,475
OHIO,INDIAN LAKE,LOGAN,3915,475
OHIO,LAKE LORAMIE,SHELBY AUGLAIZE,3917,475
OHIO,MOSQUITO CREEK RESERVOIR ,TRUMBULL,3921,475
OHIO,OSHAUGHNESSY RESERVOIR,DELAWARE,3931,475
OHIO,PLEASANT HILL RESERVOIR,ASHLAND RICHLAND,3924,475
OHIO,ROCKY FORK RESERVOIR,HIGHLAND,3932,475
OHIO,LAKE SHAWNEE,GREENE,3933,475
OHIO,GRAND LAKE OF ST. MARYS,AUGLAIZE MERCER,3927,475
OHIO,TAPPAN RESERVOIR,HARRISON,3934,475
PENNSYLVANIA,ALLEGHENY RESERVOIR,McKEAN,3641,475
PENNSYLVANIA,BEAVER RUN RESERVOIR,WESTMORELAND,4219,475
PENNSYLVANIA,BELTZVILLE LAKE,CARBON,4220,475
PENNSYLVANIA,BLANCHARD RESERVOIR,CENTRE,4201,475
PENNSYLVANIA,LAKE CANADOHTA,CRAWFORD,4221,475
PENNSYLVANIA,CONEWAGO LAKE (PINCHOT),YORK,4226,475
PENNSYLVANIA,CONNEAUT LAKE,CRAWFORD,4204,475
PENNSYLVANIA,GREENLANE RESERVOIR,MONTGOMERY,4207,475
PENNSYLVANIA,HARVEYS LAKE,LUZERNE,4222,475
PENNSYLVANIA,INDIAN LAKE,SOMERSET,4223,475
PENNSYLVANIA,LAKE NAOMI,MONROE,4224,475
PENNSYLVANIA,LAKE ONTELAUNEE,BERKS,4225,475
PENNSYLVANIA,POCONO LAKE,MONROE,4227,475
PENNSYLVANIA,PYMATUNING RESERVOIR,CRAWFORD ASHTABULA 0H,4213,475
PENNSYLVANIA,SHENANGD RIVER RESERVOIR,MERCER,4216,475
PENNSYLVANIA,STILLWATER LAKE,MONROE,4228,475
PENNSYLVANIA,LAKE WALLENPAUPACK,PIKE WAYNE,4229,475
SOUTH CAROLINA,LAKE WILLIAM C. BOWEN,SPARTANBURG,4516,475
SOUTH CAROLINA,FISHING CREEK RES,CHESTER LANCASTER,4503,475
